question_number,option_count,question_text,question_length,question_space_count,correct_answer_numbers,image,keyword,option1,option1_length,option2,option2_length,option3,option3_length,option4,option4_length,correct_answer_text,Required,short_last_option,rules
99,3,"Khi có xe xin vượt, người lái xe mô tô xử lý như thế nào nếu đủ điều kiện an toàn cho xe phía sau vượt?",103,25,[1],False,xe mô tô,"Giảm tốc độ, có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được cản trở đối với xe xin vượt.",247,"Lái xe vào lề đường bên trái và giảm tốc độ để xe phía sau vượt qua, không được gây trở ngại đối với xe xin vượt.",113,"Tăng tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua.",86,,0,"Giảm tốc độ, có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được cản trở đối với xe xin vượt.",False,True,ルール6
107,3,"Tại nơi đường giao nhau, người lái xe đang đi trên đường không ưu tiên, đường nhánh phải nhường đường như thế nào là đúng quy tắc giao thông?",141,28,[3],False,giao thông,Nhường đường cho xe đi ở bên phải mình tới.,43,Nhường đường cho xe đi ở bên trái mình tới.,43,Nhường đường cho xe đi trên đường ưu tiên hoặc đường chính từ bất kỳ hướng nào tới.,83,,0,Nhường đường cho xe đi trên đường ưu tiên hoặc đường chính từ bất kỳ hướng nào tới.,False,False,ルール8
109,3,Biển số 1 có ý nghĩa như thế nào?,33,8,[1],False,biển,Biển chỉ dẫn hết cấm đỗ xe theo giờ trong khu vực.,50,Biển chỉ dẫn hết hiệu lực khu vực đỗ xe trên các tuyến đường đối ngoại.,71,Biển chỉ dẫn khu vực đỗ xe trên các tuyến đường đối ngoại.,58,,0,Biển chỉ dẫn hết cấm đỗ xe theo giờ trong khu vực.,False,False,ルール7
110,3,"Khi gặp xe buýt đang dừng đón, trả khách, người điều khiển xe mô tô phải xử lý như thế nào dưới đây?",100,22,[2],False,xe mô tô,Tăng tốc độ để nhanh chóng vượt qua xe buýt.,44,"Quan sát, giảm tốc độ đi qua xe buýt hoặc dừng lại để bảo đảm an toàn.",70,Cả hai ý trên.,14,,0,"Quan sát, giảm tốc độ đi qua xe buýt hoặc dừng lại để bảo đảm an toàn.",False,True,ルール4b
111,3,"Tại nơi đường giao nhau, khi đèn điều khiển giao thông có tín hiệu màu vàng, người điều khiển phương tiện tham gia giao thông phải chấp hành như thế nào là đúng quy tắc giao thông?",180,36,[1],False,giao thông,"Dừng lại trước vạch dừng; trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng mà tín hiệu đèn màu vàng thì được đi tiếp; trường hợp tín hiệu đèn màu vàng nhấp nháy, người điều khiển phương tiện tham gia giao thông đường bộ được đi nhưng phải quan sát, giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường hoặc các phương tiện khác.",379,Tăng tốc độ nhanh chóng vượt qua nút giao.,42,"Quan sát, giảm tốc độ, từ từ vượt qua nút giao.",47,,0,"Dừng lại trước vạch dừng; trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng mà tín hiệu đèn màu vàng thì được đi tiếp; trường hợp tín hiệu đèn màu vàng nhấp nháy, người điều khiển phương tiện tham gia giao thông đường bộ được đi nhưng phải quan sát, giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường hoặc các phương tiện khác.",False,True,ルール6
112,3,Xe nào dừng đúng theo quy tắc giao thông?,41,8,[1],False,giao thông,Xe con.,7,Xe mô tô.,9,Cả 2 xe đều đúng.,20,,0,Xe con.,False,False,ルール7
114,3,Người được chở trên xe mô tô có được kéo theo người đang điều khiển xe đạp hay không?,85,18,[2],False,xe mô tô,Chỉ được phép nếu cả hai đội mũ bảo hiểm.,41,Không được phép.,16,Chỉ được thực hiện trên đường vắng.,35,,0,Không được phép.,False,False,ルール8
115,3,Dải phân cách được lắp đặt để làm gì?,37,8,[2],False,dải,Để phân chia các làn đường dành cho xe cơ giới và xe thô sơ trên đường cao tốc.,79,Để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường.,180,Để phân tách phần đường xe chạy và hành lang an toàn giao thông.,64,,0,Để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường.,False,False,ルール8
116,3,"Trên một chiều đường có vạch kẻ phân làn đường, người lái xe cơ giới, xe máy chuyên dùng phải điều khiển xe đi trên làn đường nào?",130,27,[2],False,trên,Đi trên làn đường bên phải trong cùng.,38,Đi trên làn đường bên trái.,27,Đi ở bất cứ làn nào nhưng phải bảo đảm tốc độ cho phép.,55,,0,Đi trên làn đường bên trái.,False,False,ルール8
119,3,"Trong nhóm các phương tiện giao thông đường bộ dưới đây, nhóm phương tiện nào là xe thô sơ?",91,18,[1],False,giao thông,"Xe đạp, xe đạp máy, xe đạp điện; xe xích lô; xe lăn dùng cho người khuyết tật; xe vật nuôi kéo và các loại xe tương tự.",119,"Xe đạp (kể cả xe đạp máy, xe đạp điện), xe gắn máy, xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.",111,"Xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo.",75,,0,"Xe đạp, xe đạp máy, xe đạp điện; xe xích lô; xe lăn dùng cho người khuyết tật; xe vật nuôi kéo và các loại xe tương tự.",False,False,ルール8
122,3,"Người lái xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện hành vi nào sau đây?",99,23,[2],False,xe mô tô,"Đi trên phần đường, làn đường quy định, chấp hành hiệu lệnh của người điều khiển giao thông, đèn tín hiệu giao thông.",117,"Đi xe dàn hàng ngang, đi xe vào phần đường dành cho người đi bộ.",64,Cả hai ý trên.,14,,0,"Đi xe dàn hàng ngang, đi xe vào phần đường dành cho người đi bộ.",False,True,ルール4a
123,3,"Trong đoạn đường hai chiều tại khu đông dân cư đang ùn tắc, người điều khiển xe mô tô có văn hóa giao thông sẽ lựa chọn cách xử lý tình huống nào dưới đây?",155,34,[3],False,xe mô tô,Cho xe lấn sang làn ngược chiều để nhanh chóng thoát khỏi nơi ùn tắc.,69,Điều khiển xe trên vỉa hè để nhanh chóng thoát khỏi nơi ùn tắc.,63,"Kiên nhẫn tuân thủ hướng dẫn của người điều khiển giao thông hoặc tín hiệu đèn giao thông, di chuyển trên đúng phần đường bên phải theo chiều đi, nhường đường cho các phương tiện đi ngược chiều.",194,,0,"Kiên nhẫn tuân thủ hướng dẫn của người điều khiển giao thông hoặc tín hiệu đèn giao thông, di chuyển trên đúng phần đường bên phải theo chiều đi, nhường đường cho các phương tiện đi ngược chiều.",False,False,ルール5
127,3,"Theo Luật Phòng chống tác hại của rượu, bia, đối tượng nào dưới đây bị cấm sử dụng rượu, bia khi tham gia giao thông?",117,24,[1],False,giao thông,"Người điều khiển xe ô tô, xe mô tô, xe đạp, xe gắn máy.",55,Người được chở trên xe cơ giới.,31,Cả hai ý trên.,14,,0,"Người điều khiển xe ô tô, xe mô tô, xe đạp, xe gắn máy.",False,True,ルール4b
132,3,Người có Giấy phép lái xe mô tô hạng A1 không được phép điều khiển loại xe nào dưới đây?,88,19,[2],False,xe mô tô,Xe mô tô hai bánh có dung tích xi-lanh 125 cm3 hoặc có công suất động cơ điện đến 11 kW.,88,Xe mô tô ba bánh.,17,Cả hai ý trên.,14,,0,Xe mô tô ba bánh.,False,True,ルール4b
135,3,"Việc sử dụng xe mô tô, xe gắn máy, xe thô sơ để vận chuyển hành khách, hàng hóa phải thực hiện các quy định nào dưới đây để đảm bảo an toàn giao thông?",151,34,[3],False,xe mô tô,Kiểm tra điều kiện bảo đảm an toàn của xe trước khi tham gia giao thông đường bộ; mang đủ giấy tờ theo quy định của pháp luật.,126,"Kiểm tra việc sắp xếp hàng hóa bảo đảm an toàn; không chở quá số người, chở hành lý, hàng hoá vượt quá khối lượng cho phép hoặc vượt quá khổ giới hạn của xe.",157,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
137,3,"Muốn vượt xe phía trước, người lái xe mô tô phải có tín hiệu như thế nào dưới đây để bảo đảm an toàn?",101,23,[3],False,xe mô tô,Bấm còi liên tục để xe phía trước biết xe mình xin vượt.,56,Rú ga liên tục để xe phía trước biết xe mình xin vượt.,54,Báo hiệu nhấp nháy bằng đèn chiếu sáng phía trước hoặc còi.,59,,0,Báo hiệu nhấp nháy bằng đèn chiếu sáng phía trước hoặc còi.,False,False,ルール8
140,3,Hành vi nào sau đây bị nghiêm cấm?,34,7,[3],False,cấm,"Điều khiển xe cơ giới lạng lách, đánh võng, rú ga liên tục khi tham gia giao thông trên đường.",94,"Xúc phạm, đe dọa, cản trở, chống đối hoặc không chấp hành hiệu lệnh, hướng dẫn, yêu cầu kiểm tra, kiểm soát của người thi hành công vụ về bảo đảm trật tự, an toàn giao thông đường bộ.",183,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
142,3,Khổ giới hạn của đường bộ được hiểu như thế nào là đúng?,56,12,[1],False,đường bộ,"Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn, tiêu chuẩn kỹ thuật của đường bộ.",232,"Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.",153,"Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.",118,,0,"Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn, tiêu chuẩn kỹ thuật của đường bộ.",False,False,ルール5
145,3,Người lái xe được phép vượt xe khác về bên phải trong trường hợp nào dưới đây?,78,16,[1],False,vượt,Xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái hoặc khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái.,128,Xe phía trước đang đi sát lề đường bên trái.,44,Cả hai ý trên.,14,,0,Xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái hoặc khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái.,False,True,ルール4a
